,name,res_type
1116,Auntie Anne's,pizza
1117,My El Qalioby,pizza
1118,Double D's Pizza,pizza
1119,Domino's Pizza,pizza
1120,Ibn AlSham,pizza
1121,Pizza El Sultan,pizza
1122,Pizza Master,pizza
1123,Majesty,pizza
1124,Papa John's Pizza,pizza
1125,Pasta Mads,pasta
1126,Mercato Italiano,pasta
1127,Malmo,pasta
1128,El Sayad,pasta
1129,Kinwa,pasta
1130,Armando Restaurant & Cafe,pasta
1131,Coco Di Papa,pasta
1132,Caruso's,pasta
1133,Shrimp House,pasta
1134,La Poire Cafe,pasta
1135,Tree Top,pasta
1136,Crispy Meals,pasta
1137,Sushi Way,pasta
1138,Palermo,pasta
1139,Lokma Haneya,pasta
1140,Ted's,pasta
1141,Il Mulino,pasta
1142,Skalans,pasta
1143,Gaby's,pasta
1144,Bab Sharqy,pasta
1145,Freddy's,pasta
1146,Roastery,pasta
1147,Kebda w Kaboria Eskandarany,pasta
1148,Baladena,pasta
1149,Papai,pasta
1150,Cave,pasta
1151,My El Qalioby,pasta
1152,Abou Shakra,pasta
1153,Mega Sandwiches,pasta
1154,Legleisah,pasta
1155,EL-Zaiem,pasta
1156,TGI Friday's,pasta
1157,Tom and Basal,pasta
1158,Estoda Cheese King,pasta
1159,Zack's Fried Chicken,pasta
1160,Country Hills,pasta
1161,Chicken & Ribs,pasta
1162,Majesty,pasta
1163,Best Way,pasta
1164,Abo Mazen El Soury,pasta
1165,7amza,pasta
1166,Awlad Ta2ta2,pasta
1167,ElDahan,pasta
1168,Pastaweesy,pasta
1169,Buffalo Burger,burgers
1170,Fuddruckers,burgers
1171,TGI Friday's,burgers
1172,Ibn AlSham,burgers
1173,Cook Door,burgers
1174,Bites Burger,burgers
1175,Diet House,burgers
1176,Max Burgers,burgers
1177,Butcher's Burger,burgers
1178,Hardee's,burgers
1179,Burger King,burgers
1180,Bazooka,burgers
